fecha,SPBLSCUP,SPY,EEM,MCHI,QQQ,vc_sbs,ret_SPY,ret_EEM,ret_MCHI,ret_QQQ,ret_SPBLSCUP,ret_vc_sbs,vc_niveles,vc_niveles_raw,ret_niveles_implicito,ret_vc_estimado,vc_retornos,error_niveles_pct,error_retornos_pct,fase
2026-01-05,357.86,687.719970703125,56.86000061035156,62.66999816894531,617.989990234375,27.2684942,,,,,,,27.693414572913614,27.693414572913614,,,,1.558283232645885,,RETROSPECTIVO
2026-01-06,365.08,691.8099975585938,57.279998779296875,62.709999084472656,623.4199829101562,27.7736158,0.005947227112347964,0.007386531207121516,0.0006382785494825072,0.008786538231342345,0.020175487620857302,0.018524000492847303,27.981058528993135,27.981058528993135,0.01038672769376947,0.009932085840225839,27.5393272251281,0.7469057341577212,-0.8435652619343204,RETROSPECTIVO
2026-01-07,365.39,689.5800170898438,56.849998474121094,61.880001068115234,624.02001953125,27.7565226,-0.0032234001772446508,-0.0075069887279956005,-0.013235497185056344,0.0009624917993369397,0.0008491289580365713,-0.0006154474132245014,27.95903398577275,27.95903398577275,-0.0007871233033434066,-0.0006462967484126348,27.7556658024168,0.729599268219383,-0.003086833302379244,RETROSPECTIVO
2026-01-08,371.35,689.510009765625,56.869998931884766,62.279998779296875,620.469970703125,27.707101400000003,-0.00010152168346500012,0.0003518110518996309,0.006464087011591069,-0.005688998296547787,0.016311338569747535,-0.0017805256339998854,28.04577631809604,28.04577631809604,0.0031024795909411207,0.0031349472872126186,27.843537835227327,1.2223397648374545,0.49242406579319553,RETROSPECTIVO
2026-01-09,380.92,694.0700073242188,57.13999938964844,62.220001220703125,626.6500244140625,27.9908552,0.006613388484590255,0.004747678263315347,-0.0009633519551978109,0.009960278502977538,0.02577083613841391,0.010241193977800878,28.36408143786943,28.36408143786943,0.011349485076225685,0.011090090874975856,28.01437567240817,1.3333863335102114,0.08402913108624954,RETROSPECTIVO
2026-01-12,393.24,695.1599731445312,57.939998626708984,64.26000213623047,627.1699829101562,28.333933,0.0015703975230316747,0.014000686832444709,0.03278689931700862,0.0008297430397132821,0.032342749133676296,0.012256781636311054,28.646206376536213,28.646206376536213,0.00994655650262355,0.011470422159108618,28.31192212573848,1.1021180029479716,-0.0776837944154063,RETROSPECTIVO
2026-01-13,394.11,693.77001953125,57.5099983215332,63.52000045776367,626.239990234375,28.4390516,-0.001999473023445053,-0.007421475929713983,-0.01151574313517767,-0.001482839901657873,0.0022123893805310324,0.0037099897144530214,28.624535034495878,28.624535034495878,-0.0007565169975904951,-0.0009615032123091159,28.306689832403148,0.652213854050876,-0.46542257969267586,RETROSPECTIVO
2026-01-14,398.77,690.3599853515625,57.75,63.54999923706055,619.5499877929688,28.5460392,-0.004915222744839132,0.0041732165792280895,0.0004722729704138562,-0.01068280937936028,0.011824110020045131,0.0037619960575618894,28.745233419297463,28.745233419297463,0.004216605952066299,0.0024717438928063425,28.509345652109506,0.6977998520280249,-0.12854164332014584,RETROSPECTIVO
2026-01-15,402.73,692.239990234375,58.09000015258789,63.59000015258789,621.780029296875,28.7569735,0.0027232240029890775,0.0058874485296604995,0.0006294400630617591,0.0035994537129284687,0.009930536399428425,0.007389266809386452,28.922893188424247,28.922893188424247,0.00618049492016004,0.005456748770983959,28.70180776432106,0.576972011412269,-0.1918342890949276,RETROSPECTIVO
2026-01-16,403.18,691.6599731445312,57.869998931884766,62.52000045776367,621.260009765625,28.8321339,-0.0008378844014015341,-0.0037872477212125277,-0.0168265402147616,-0.0008363400346551586,0.0011173739229757285,0.0026136408269805678,28.97416503274369,28.97416503274369,0.0017727080062641676,0.0003238735260024117,28.766287122404606,0.492614016140136,-0.22837982725723016,RETROSPECTIVO
2026-01-20,415.61,677.5800170898438,57.310001373291016,61.650001525878906,608.0599975585938,29.0239506,-0.020356759970762806,-0.009676819922752822,-0.01391552983868749,-0.0212471622179754,0.030829902276898746,0.0066528790642166324,29.108002699849525,29.108002699849525,0.0046192070402919505,0.00284338781436989,28.91411483819354,0.2895956550088785,-0.3784314662059085,RETROSPECTIVO
2026-01-21,415.12,685.4000244140625,58.2599983215332,62.4900016784668,616.280029296875,29.2532086,0.011541083159159804,0.01657646005021607,0.013625306274084759,0.013518455039445598,-0.0011789899184331265,0.007898924690148856,29.296672455072844,29.296672455072844,0.006481714227142499,0.0065766948759483,29.214832267190793,0.14857807793722255,-0.13118674718372025,RETROSPECTIVO
