model_key,model_name,fecha,first_generated_at_lima,last_updated_at_lima,frozen,anchor_date,anchor_vc,base_vc,vc_estimated,return_estimated,signal,actual_vc,actual_return_daily,error_vc,error_pct,direction_hit,source,quality_status,quality_note,include_in_score
new_tickers,Rolling 30 · nuevos tickers,2026-08-20,2026-08-21T23:10:00-05:00,2026-08-21T23:10:00-05:00,True,2026-08-19,70.327616,70.327616,70.80525866139183,0.0067916799766371,SUBE,71.0427094,0.01016803128944388,-0.23745073860817456,-0.33423660304287006,True,OPERACIONAL ROLLING30 · CIERRE,OK,,True
qqq,Rolling 30 · QQQ,2026-08-20,2026-08-21T23:10:00-05:00,2026-08-21T23:10:00-05:00,True,2026-08-19,70.327616,70.327616,70.85344824368957,0.0074768956150818,SUBE,71.0427094,0.01016803128944388,-0.18926115631043672,-0.26640475554615684,True,OPERACIONAL ROLLING30 · CIERRE,OK,,True
new_tickers,Rolling 30 · nuevos tickers,2026-08-21,2026-08-21T23:10:00-05:00,2026-08-21T23:10:00-05:00,True,2026-08-19,70.327616,70.80525866139183,71.71920858339585,0.0129079384678863,SUBE,71.8058461,0.010741942508177837,-0.0866375166041422,-0.12065524091657842,True,OPERACIONAL ROLLING30 · CIERRE,OK,,True
qqq,Rolling 30 · QQQ,2026-08-21,2026-08-21T23:10:00-05:00,2026-08-21T23:10:00-05:00,True,2026-08-19,70.327616,70.85344824368957,71.86068865704428,0.0142158277165348,SUBE,71.8058461,0.010741942508177837,0.05484255704428165,0.07637617272542307,True,OPERACIONAL ROLLING30 · CIERRE,OK,,True
new_tickers,Rolling 30 · nuevos tickers,2026-08-24,2026-08-24T12:54:43.164023-05:00,2026-08-24T15:14:51.744667-05:00,True,2026-08-20,71.0427094,71.0427094,71.73151636377013,0.009695674187929,SUBE,70.9791366,-0.011513122467057602,0.7523797637701222,1.0600012902525435,False,OPERACIONAL ROLLING30 · CIERRE · INCIDENTE DATOS DOCUMENTADO · INCIDENTE DATOS DOCUMENTADO,EXCLUIR_SCORE,"Predicción operacional preservada, pero el cierre recibió CPER=38.76 y SPBLSCUP=500.00 por extracción inconsistente; además faltó la fila de factores 21/08 en la cadena. No representa limpiamente al modelo.",False
qqq,Rolling 30 · QQQ,2026-08-24,2026-08-24T12:54:43.164023-05:00,2026-08-24T15:14:51.744667-05:00,True,2026-08-20,71.0427094,72.01282514070252,71.52639420892588,-0.0067547819548285,BAJA,70.9791366,-0.011513122467057602,0.5472576089258752,0.7710119270820659,True,OPERACIONAL ROLLING30 · CIERRE,OK,,True
new_tickers,Rolling 30 · nuevos tickers,2026-08-25,2026-08-25T09:01:53.973663-05:00,2026-08-25T15:25:16.159377-05:00,True,2026-08-21,71.8058461,71.04642522509886,72.06901638434466,0.0143932809568657,SUBE,,,,,,OPERACIONAL ROLLING30 · CIERRE,OK,,True
qqq,Rolling 30 · QQQ,2026-08-25,2026-08-25T09:01:53.973663-05:00,2026-08-25T15:25:16.159377-05:00,True,2026-08-21,71.8058461,71.35183563293222,72.19059143835085,0.0117552099112569,SUBE,,,,,,OPERACIONAL ROLLING30 · CIERRE,OK,,True
new_tickers,Rolling 30 · nuevos tickers,2026-08-26,2026-08-26T09:01:03.350227-05:00,2026-08-26T15:18:56.960733-05:00,True,2026-08-21,71.8058461,72.06277111485498,71.9610889529048,-0.001411022090562,BAJA,,,,,,OPERACIONAL ROLLING30 · CIERRE,OK,,True
qqq,Rolling 30 · QQQ,2026-08-26,2026-08-26T09:01:03.350227-05:00,2026-08-26T15:18:56.960733-05:00,True,2026-08-21,71.8058461,72.20023800006079,72.16627121385054,-0.0004704525518355,NEUTRO,,,,,,OPERACIONAL ROLLING30 · CIERRE,OK,,True
